RowId,SpellId,Reagent1,Reagent2,Reagent3,Reagent4,Reagent5,Reagent6,Reagent7,Reagent8,ReagentCount1,ReagentCount2,ReagentCount3,ReagentCount4,ReagentCount5,ReagentCount6,ReagentCount7,ReagentCount8
19986,9976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20982,27664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20983,27665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20829,27666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20994,27667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20995,27668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20964,27669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20968,27670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20977,27671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20833,27700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20999,27701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21002,27702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20808,27703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20834,27704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20835,27705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20809,27706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20810,27707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20811,27708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20812,27709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20813,27710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20814,27711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20816,27712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21000,27713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20815,27714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20824,27715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20825,27716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20853,27717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001,27718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20854,27719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
